pair_type,file_a,file_b,metric_type,metric_value,status,notes
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000530.jpg,yolo/data/rdd2022/images/val/China_Drone_000645.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000558.jpg,yolo/data/rdd2022/images/val/China_Drone_000645.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000171.jpg,yolo/data/rdd2022/images/val/China_Drone_000701.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001898.jpg,yolo/data/rdd2022/images/val/China_Drone_000705.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001346.jpg,yolo/data/rdd2022/images/val/China_Drone_000774.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000324.jpg,yolo/data/rdd2022/images/val/China_Drone_000844.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001681.jpg,yolo/data/rdd2022/images/val/China_Drone_000844.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001683.jpg,yolo/data/rdd2022/images/val/China_Drone_001094.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000710.jpg,yolo/data/rdd2022/images/val/China_Drone_001110.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001346.jpg,yolo/data/rdd2022/images/val/China_Drone_001110.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000911.jpg,yolo/data/rdd2022/images/val/China_Drone_001244.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001035.jpg,yolo/data/rdd2022/images/val/China_Drone_001244.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001683.jpg,yolo/data/rdd2022/images/val/China_Drone_001244.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002233.jpg,yolo/data/rdd2022/images/val/China_Drone_001244.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002329.jpg,yolo/data/rdd2022/images/val/China_Drone_001244.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000032.jpg,yolo/data/rdd2022/images/val/China_Drone_001250.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001159.jpg,yolo/data/rdd2022/images/val/China_Drone_001250.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001809.jpg,yolo/data/rdd2022/images/val/China_Drone_001250.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002297.jpg,yolo/data/rdd2022/images/val/China_Drone_001250.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000852.jpg,yolo/data/rdd2022/images/val/China_Drone_001309.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001313.jpg,yolo/data/rdd2022/images/val/China_Drone_001309.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001349.jpg,yolo/data/rdd2022/images/val/China_Drone_001309.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001699.jpg,yolo/data/rdd2022/images/val/China_Drone_001309.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001346.jpg,yolo/data/rdd2022/images/val/China_Drone_001431.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000324.jpg,yolo/data/rdd2022/images/val/China_Drone_001437.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000335.jpg,yolo/data/rdd2022/images/val/China_Drone_001515.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000728.jpg,yolo/data/rdd2022/images/val/China_Drone_001515.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000935.jpg,yolo/data/rdd2022/images/val/China_Drone_001595.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001119.jpg,yolo/data/rdd2022/images/val/China_Drone_001595.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001829.jpg,yolo/data/rdd2022/images/val/China_Drone_001595.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001125.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001201.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001489.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001502.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001721.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002267.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002294.jpg,yolo/data/rdd2022/images/val/China_Drone_001637.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000324.jpg,yolo/data/rdd2022/images/val/China_Drone_001695.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001681.jpg,yolo/data/rdd2022/images/val/China_Drone_001891.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000117.jpg,yolo/data/rdd2022/images/val/China_Drone_001935.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000543.jpg,yolo/data/rdd2022/images/val/China_Drone_001935.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001191.jpg,yolo/data/rdd2022/images/val/China_Drone_001935.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001802.jpg,yolo/data/rdd2022/images/val/China_Drone_001935.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001833.jpg,yolo/data/rdd2022/images/val/China_Drone_001935.jpg,phash_hamming_distance,0,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 0/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002291.jpg,yolo/data/rdd2022/images/val/China_Drone_001935.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000143.jpg,yolo/data/rdd2022/images/val/China_Drone_001947.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
