metric_name,reported_value,recalculated_value,absolute_difference,relative_difference,source_artifact,status,notes
india_yolo_precision,0.0964,0.0964,0.000014,0.0150%,table_cross_domain_metrics.csv,ROUNDING_MATCH,8 / 83 = 0.096385
india_yolo_recall,0.0123,0.0123,0.000030,0.2444%,table_cross_domain_metrics.csv,ROUNDING_MATCH,8 / 652 = 0.012270
india_yolo_f1_audited,0.0218,0.0218,0.000031,0.1435%,table_cross_domain_metrics.csv,ROUNDING_MATCH,Exact canonical F1 (0.021769)
india_yolo_f1_deprecated_check,0.0226,0.0218,0.000831,3.6783%,CANONICAL_RESEARCH_METRICS.json,MISMATCH,Historical deprecated F1 (MISMATCH confirmed and audited; 0.0218 supersedes it)
india_zero_tp_image_rate,97.33,97.3300,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,292 / 300 images produce 0 correct detections
india_t0_failures,292,292.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,Failures under Target T0 (F1 > 0)
india_t1_failures,293,293.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,Failures under Target T1 (F1 >= 0.50; India_000511 F1=0.40 flips to failure)
india_conditional_fp_only_images,57/65,57/65,0.0,0.0%,cross_domain_reliability_dataset.csv,EXACT_MATCH,87.69% of frames producing predictions have zero correct detections
detection_correctness_auroc,0.7741,0.7741,0.000032,0.0041%,YOLO_CONFIDENCE_FAILURE_ANALYSIS.csv,ROUNDING_MATCH,Predicting TP from raw confidence
detection_brier_score,0.1921,0.1921,0.000018,0.0091%,YOLO_CONFIDENCE_FAILURE_ANALYSIS.csv,ROUNDING_MATCH,Brier calibration loss
detection_ece_10bins,0.1075,0.1075,0.000009,0.0087%,YOLO_CONFIDENCE_FAILURE_ANALYSIS.csv,ROUNDING_MATCH,Expected Calibration Error across 10 uniform bins
risk_coverage_80pct_t1_error,8.85,8.8500,0.000000,0.0000%,integration/CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,Accepted failure rate at 80% coverage under Target T1
risk_coverage_50pct_t1_error,2.08,2.0800,0.000000,0.0000%,integration/CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,Accepted failure rate at 50% coverage under Target T1
risk_coverage_50pct_reduction,88.4,88.4000,0.000000,0.0000%,integration/CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,(17.92 - 2.08) / 17.92 * 100 = 88.39%
domain_gate_auroc,1.0,1.0000,0.000000,0.0000%,DOMAIN_GATE_VALUE.csv,EXACT_MATCH,China vs India discrimination
domain_gate_separation_margin,0.1158,0.1158,0.000000,0.0000%,DOMAIN_GATE_VALUE.csv,ROUNDING_MATCH,min(India) - max(China) = 0.6405 - 0.5247 = +0.1158
domain_gate_p99_threshold,0.4491,0.4491,0.000000,0.0000%,DOMAIN_GATE_VALUE.csv,EXACT_MATCH,China train reference p99 cutoff
domain_gate_china_false_warning_pct,1.46,1.4583,0.001667,0.1142%,DOMAIN_GATE_VALUE.csv,MISMATCH,7 / 480 China validation images flagged
domain_gate_india_detection_pct,100.0,100.0000,0.000000,0.0000%,DOMAIN_GATE_VALUE.csv,EXACT_MATCH,300 / 300 India cross-domain images quarantined
policy_standalone_yolo_t1_failures,293,293.0000,0.000000,0.0000%,DECISION_SAFETY_ANALYSIS.csv,EXACT_MATCH,Failures admitted downstream by YOLO only
policy_roadsentinel_domain_escalations,300,300.0000,0.000000,0.0000%,DECISION_SAFETY_ANALYSIS.csv,EXACT_MATCH,All 300 India images routed to DOMAIN_ESCALATION
policy_roadsentinel_unsafe_accepts,0,0.0000,0.000000,0.0000%,DECISION_SAFETY_ANALYSIS.csv,EXACT_MATCH,0 unsafe automatic accepts on shifted domain
temporal_unique_tracks,48,48.0000,0.000000,0.0000%,table_tracking_statistics.csv,EXACT_MATCH,Unique distress identities across 8 sequences
temporal_persistent_tracks_ge2,22,22.0000,0.000000,0.0000%,table_tracking_statistics.csv,EXACT_MATCH,Tracks observed in >= 2 consecutive states
temporal_persistence_ratio_pct,45.83,45.8300,0.000000,0.0000%,table_tracking_statistics.csv,EXACT_MATCH,22 / 48 = 45.83%
temporal_matched_transitions,33,33.0000,0.000000,0.0000%,CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,Total adjacent transition states evaluated
temporal_observed_area_increased,14,14.0000,0.000000,0.0000%,CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,Canonical growth transitions
temporal_observed_area_decreased,19,19.0000,0.000000,0.0000%,CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,Canonical contraction/shadow transitions (14+19=33)
xgboost_test_r2,0.8055,0.8055,0.000000,0.0001%,scenario_model_v2_metrics.json,ROUNDING_MATCH,Held-out site disjoint R²
xgboost_test_mae,0.0924,0.0924,0.000011,0.0119%,scenario_model_v2_metrics.json,ROUNDING_MATCH,Held-out site disjoint MAE
xgboost_test_rmse,0.1144,0.1144,0.000028,0.0243%,scenario_model_v2_metrics.json,ROUNDING_MATCH,Held-out site disjoint RMSE
xgboost_site_overlap,0,0.0000,0.000000,0.0000%,scenario_model_v2_metrics.json,EXACT_MATCH,Strict zero-leakage test guarantee
xgboost_train_row_count,89,89.0000,0.000000,0.0000%,scenario_model_v2_metrics.json,EXACT_MATCH,Longitudinal progression pairs
xgboost_test_row_count,24,24.0000,0.000000,0.0000%,scenario_model_v2_metrics.json,EXACT_MATCH,Held-out test pairs
xgboost_highest_90d_scenario_delta,+0.0526,+0.0526,0.0,0.0%,CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,WET_EXPOSURE scenario projection
yolo_inference_ms,3.62,3.6200,0.000000,0.0000%,COMPUTATIONAL_TRADEOFF.csv,EXACT_MATCH,Primary detector latency on RTX 5060
staged_pipeline_ms,28.4,28.4000,0.000000,0.0000%,COMPUTATIONAL_TRADEOFF.csv,EXACT_MATCH,YOLO + DINO Gate + Reliability Filter
full_deep_pipeline_ms,291.65,291.6500,0.000000,0.0000%,COMPUTATIONAL_TRADEOFF.csv,EXACT_MATCH,All 6 pipeline tiers combined
