segment_id,day,lighting_preset,road_health_state,pothole_sizing_spectrum,pothole_density_per_100m2,pothole_moisture_state,camera_preset,event,expected_image_path,expected_metadata_path
SEG_001,4,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_04.png,env/output/temporal_segments/SEG_001/day_04_metadata.json
SEG_002,4,Dense Atmospheric Fog,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_04.png,env/output/temporal_segments/SEG_002/day_04_metadata.json
SEG_003,4,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_04.png,env/output/temporal_segments/SEG_003/day_04_metadata.json
SEG_004,4,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_04.png,env/output/temporal_segments/SEG_004/day_04_metadata.json
SEG_005,4,Overcast Day,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_005/day_04.png,env/output/temporal_segments/SEG_005/day_04_metadata.json
SEG_006,4,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_006/day_04.png,env/output/temporal_segments/SEG_006/day_04_metadata.json
SEG_001,5,Heavy Rain & Wet Road,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_05.png,env/output/temporal_segments/SEG_001/day_05_metadata.json
SEG_002,5,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_05.png,env/output/temporal_segments/SEG_002/day_05_metadata.json
SEG_003,5,Night Highway with Lamps,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_05.png,env/output/temporal_segments/SEG_003/day_05_metadata.json
SEG_004,5,Heavy Rain & Wet Road,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_05.png,env/output/temporal_segments/SEG_004/day_05_metadata.json
SEG_005,5,Night Highway with Lamps,Critical Hazard (Grade F),Large Severe Craters Only,8.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),pre-repair,env/output/temporal_segments/SEG_005/day_05.png,env/output/temporal_segments/SEG_005/day_05_metadata.json
SEG_006,5,Overcast Day,Critical Hazard (Grade F),Large Severe Craters Only,8.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),pre-repair,env/output/temporal_segments/SEG_006/day_05.png,env/output/temporal_segments/SEG_006/day_05_metadata.json
SEG_001,6,Golden Hour Sunset,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_06.png,env/output/temporal_segments/SEG_001/day_06_metadata.json
SEG_002,6,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_06.png,env/output/temporal_segments/SEG_002/day_06_metadata.json
SEG_003,6,Overcast Day,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_06.png,env/output/temporal_segments/SEG_003/day_06_metadata.json
SEG_004,6,Overcast Day,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_06.png,env/output/temporal_segments/SEG_004/day_06_metadata.json
SEG_005,6,Overcast Day,Pristine (Grade A),Micro Pitting & Hairlines,0.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),repair,env/output/temporal_segments/SEG_005/day_06.png,env/output/temporal_segments/SEG_005/day_06_metadata.json
SEG_006,6,Heavy Rain & Wet Road,Pristine (Grade A),Micro Pitting & Hairlines,0.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),repair,env/output/temporal_segments/SEG_006/day_06.png,env/output/temporal_segments/SEG_006/day_06_metadata.json
SEG_001,7,Night Highway with Lamps,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_07.png,env/output/temporal_segments/SEG_001/day_07_metadata.json
SEG_002,7,Dense Atmospheric Fog,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_07.png,env/output/temporal_segments/SEG_002/day_07_metadata.json
SEG_003,7,Night Highway with Lamps,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_07.png,env/output/temporal_segments/SEG_003/day_07_metadata.json
SEG_004,7,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_07.png,env/output/temporal_segments/SEG_004/day_07_metadata.json
SEG_005,7,Night Highway with Lamps,Pristine (Grade A),Micro Pitting & Hairlines,0.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_005/day_07.png,env/output/temporal_segments/SEG_005/day_07_metadata.json
SEG_006,7,Overcast Day,Pristine (Grade A),Micro Pitting & Hairlines,0.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_006/day_07.png,env/output/temporal_segments/SEG_006/day_07_metadata.json
SEG_001,8,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_08.png,env/output/temporal_segments/SEG_001/day_08_metadata.json
SEG_002,8,Dense Atmospheric Fog,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_08.png,env/output/temporal_segments/SEG_002/day_08_metadata.json
SEG_003,8,Dense Atmospheric Fog,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_08.png,env/output/temporal_segments/SEG_003/day_08_metadata.json
SEG_004,8,Overcast Day,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_08.png,env/output/temporal_segments/SEG_004/day_08_metadata.json
SEG_005,8,Overcast Day,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_005/day_08.png,env/output/temporal_segments/SEG_005/day_08_metadata.json
SEG_006,8,Heavy Rain & Wet Road,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_006/day_08.png,env/output/temporal_segments/SEG_006/day_08_metadata.json
SEG_001,9,Golden Hour Sunset,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_09.png,env/output/temporal_segments/SEG_001/day_09_metadata.json
SEG_002,9,Night Highway with Lamps,Critical Hazard (Grade F),Large Severe Craters Only,8.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_09.png,env/output/temporal_segments/SEG_002/day_09_metadata.json
SEG_003,9,Night Highway with Lamps,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.0,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_09.png,env/output/temporal_segments/SEG_003/day_09_metadata.json
SEG_004,9,Night Highway with Lamps,Critical Hazard (Grade F),Large Severe Craters Only,8.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_09.png,env/output/temporal_segments/SEG_004/day_09_metadata.json
SEG_005,9,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_005/day_09.png,env/output/temporal_segments/SEG_005/day_09_metadata.json
SEG_006,9,Overcast Day,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_006/day_09.png,env/output/temporal_segments/SEG_006/day_09_metadata.json
SEG_001,10,Clear Noon (70° Sun),Critical Hazard (Grade F),Large Severe Craters Only,8.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_10.png,env/output/temporal_segments/SEG_001/day_10_metadata.json
SEG_002,10,Night Highway with Lamps,Critical Hazard (Grade F),Large Severe Craters Only,8.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_10.png,env/output/temporal_segments/SEG_002/day_10_metadata.json
SEG_003,10,Overcast Day,Critical Hazard (Grade F),Large Severe Craters Only,8.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_10.png,env/output/temporal_segments/SEG_003/day_10_metadata.json
SEG_004,10,Overcast Day,Critical Hazard (Grade F),Large Severe Craters Only,8.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_10.png,env/output/temporal_segments/SEG_004/day_10_metadata.json
SEG_005,10,Heavy Rain & Wet Road,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_005/day_10.png,env/output/temporal_segments/SEG_005/day_10_metadata.json
SEG_006,10,Heavy Rain & Wet Road,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),post-repair,env/output/temporal_segments/SEG_006/day_10.png,env/output/temporal_segments/SEG_006/day_10_metadata.json
