segment_id,day,image_id,metadata_status,camera_preset,lighting_preset,road_health_state,current_severity,defect_count,defect_area_ratio,crack_area_ratio,surface_anomaly_score,water_flag,goal1_status,goal2_status,goal2_sequence_id,goal2_exclusion_reason,previous_compatible_day,observed_severity_change,observed_area_change,matched_track_count,normal_90d_forecast,heavy_rain_90d_forecast,heavy_traffic_90d_forecast,high_heat_90d_forecast,wet_exposure_90d_forecast
SEG_002,4,SEG_002_day_04,VALID,💧 Waterlogged Pothole Macro View,Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.3687,3,0.001065,0.0,0.26,False,COMPLETED,ELIGIBLE,SEG_002_D04_D05,NONE,N/A,N/A,N/A,N/A,0.3283,0.3283,0.3478,0.3368,0.3475
SEG_002,5,SEG_002_day_05,VALID,💧 Waterlogged Pothole Macro View,Overcast Day,Moderate Deterioration (Grade C),0.7078,5,0.020932,0.0,0.2949,False,COMPLETED,ELIGIBLE,SEG_002_D04_D05,NONE,4,0.3391,0.019866,0,0.7446,0.7446,0.7645,0.7536,0.7614
SEG_002,6,SEG_002_day_06,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.3491,2,0.000221,0.0,0.269,False,COMPLETED,ELIGIBLE,SEG_002_D06_D07,NONE,N/A,N/A,N/A,N/A,0.3108,0.3108,0.3303,0.3194,0.33
SEG_002,7,SEG_002_day_07,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),0.2551,1,0.002265,0.0,0.2662,False,COMPLETED,ELIGIBLE,SEG_002_D06_D07,NONE,6,-0.094,0.002043,0,0.2808,0.2808,0.3003,0.2893,0.3
SEG_002,8,SEG_002_day_08,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),0.3288,1,0.00073,0.0,0.2852,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,VIEWPOINT_CHANGE (Overhead Drone Survey on Day08 isolate),N/A,N/A,N/A,N/A,0.3057,0.3057,0.3252,0.3143,0.3249
SEG_002,9,SEG_002_day_09,VALID,💧 Waterlogged Pothole Macro View,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),0.3276,1,0.000797,0.0,0.2757,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,VIEWPOINT_CHANGE (Waterlogged Macro View on Day09 isolate),N/A,N/A,N/A,N/A,0.3057,0.3057,0.3252,0.3143,0.3249
SEG_002,10,SEG_002_day_10,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Critical Hazard (Grade F),0.3275,1,0.000808,0.0,0.2774,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,INSUFFICIENT_CONTIGUOUS_STATES (Overlook single state on Day10),N/A,N/A,N/A,N/A,0.3057,0.3057,0.3252,0.3143,0.3249
SEG_003,1,SEG_003_day_01,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.2472,1,0.002455,0.0,0.2903,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,N/A,N/A,N/A,N/A,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,2,SEG_003_day_02,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.2447,1,0.001074,0.0,0.2921,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,1,-0.0025,-0.001381,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,3,SEG_003_day_03,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.2435,1,0.000918,0.0,0.2929,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,2,-0.0012,-0.000156,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,4,SEG_003_day_04,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.2417,1,0.000957,0.0,0.272,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,3,-0.0018,3.9e-05,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,5,SEG_003_day_05,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.244,1,0.001046,0.0,0.2768,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,4,0.0023,9e-05,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,6,SEG_003_day_06,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.2436,1,0.001075,0.0,0.2813,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,5,-0.0004,2.8e-05,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,7,SEG_003_day_07,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Pristine (Grade A),0.2459,1,0.000979,0.0,0.2791,False,COMPLETED,ELIGIBLE,SEG_003_D01_D07,NONE,6,0.0023,-9.6e-05,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,8,SEG_003_day_08,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.2443,1,0.000996,0.0,0.2879,False,COMPLETED,ELIGIBLE,SEG_003_D08_D09,NONE,N/A,N/A,N/A,N/A,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,9,SEG_003_day_09,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),0.2437,1,0.000988,0.0,0.2889,False,COMPLETED,ELIGIBLE,SEG_003_D08_D09,NONE,8,-0.0006,-8e-06,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_003,10,SEG_003_day_10,MISSING,UNKNOWN,UNKNOWN,UNKNOWN,0.2459,1,0.002433,0.0,0.2921,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,MISSING_METADATA (Simulation metadata missing on Day10),N/A,N/A,N/A,N/A,0.2808,0.2808,0.3003,0.2893,0.3
SEG_004,1,SEG_004_day_01,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.0,0,0.0,0.0,0.2748,False,COMPLETED,ELIGIBLE,SEG_004_D01_D05,NONE,N/A,N/A,N/A,N/A,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_004,2,SEG_004_day_02,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Golden Hour Sunset,Minor Wear (Grade B),0.0,0,0.0,0.0,0.2967,False,COMPLETED,ELIGIBLE,SEG_004_D01_D05,NONE,1,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_004,3,SEG_004_day_03,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.0,0,0.0,0.0,0.2781,False,COMPLETED,ELIGIBLE,SEG_004_D01_D05,NONE,2,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_004,4,SEG_004_day_04,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),0.315,2,0.001154,0.0,0.287,False,COMPLETED,ELIGIBLE,SEG_004_D01_D05,NONE,3,0.315,0.001154,0,0.3057,0.3057,0.3252,0.3143,0.3249
SEG_004,5,SEG_004_day_05,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Overcast Day,Severe Breakdown (Grade D - Critical),0.7302,4,0.026687,0.0,0.284,False,COMPLETED,ELIGIBLE,SEG_004_D01_D05,NONE,4,0.4152,0.025534,1,0.7446,0.7446,0.7645,0.7536,0.7614
SEG_004,6,SEG_004_day_06,VALID,🌄 Highway Curve Vantage Overlook,Overcast Day,Severe Breakdown (Grade D - Critical),0.6612,6,0.01049,0.0,0.3076,False,COMPLETED,ELIGIBLE,SEG_004_D06_D10,NONE,N/A,N/A,N/A,N/A,0.6213,0.6213,0.6412,0.6311,0.6381
SEG_004,7,SEG_004_day_07,VALID,🌄 Highway Curve Vantage Overlook,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),0.8134,12,0.022511,0.0,0.3428,True,COMPLETED,ELIGIBLE,SEG_004_D06_D10,NONE,6,0.1522,0.01202,2,0.7892,0.7892,0.8092,0.7982,0.8056
SEG_004,8,SEG_004_day_08,VALID,🌄 Highway Curve Vantage Overlook,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),0.8104,11,0.018253,0.0,0.3394,True,COMPLETED,ELIGIBLE,SEG_004_D06_D10,NONE,7,-0.003,-0.004257,11,0.7892,0.7892,0.8092,0.7982,0.8056
SEG_004,9,SEG_004_day_09,VALID,🌄 Highway Curve Vantage Overlook,Golden Hour Sunset,Critical Hazard (Grade F),0.0,0,0.0,0.0,0.2515,False,COMPLETED,ELIGIBLE,SEG_004_D06_D10,NONE,8,-0.8104,-0.018253,0,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_004,10,SEG_004_day_10,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Critical Hazard (Grade F),0.0,0,0.0,0.0,0.2885,False,COMPLETED,ELIGIBLE,SEG_004_D06_D10,NONE,9,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526
