pair_id,sample_id_a,sample_id_b,dataset_a,dataset_b,image_path_a,image_path_b,phash_distance,manual_decision,exclude_from_independent_evaluation,review_basis,reviewer,review_date
PHASH-11,highrpd::1x00065::1x00065_640_08_04,rdd2022_china_drone::phash6_76c177643be6::china_drone_000260,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00065_640_08_04.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000260.jpg,4,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-12,highrpd::1x00046::1x00046_640_11_08,rdd2022_china_drone::phash6_932d012c7048::china_drone_001451,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00046_640_11_08.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001451.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-13,highrpd::1x00121::1x00121_640_04_13,rdd2022_china_drone::phash6_f38b6644b7c0::china_drone_000555,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00121_640_04_13.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000555.jpg,4,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-14,highrpd::dji_20230707094603_0023::dji_20230707094603_0023_640_03_06,uapd::1146::1146_4_7,highrpd,uapd,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094603_0023_640_03_06.jpg,data/external_uav/uapd/extracted/JPEGImages/1146_4_7.JPG,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-15,highrpd::dji_20230707094605_0025::dji_20230707094605_0025_640_06_06,uapd::1146::1146_4_7,highrpd,uapd,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094605_0025_640_06_06.jpg,data/external_uav/uapd/extracted/JPEGImages/1146_4_7.JPG,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-16,highrpd::1x00071::1x00071_640_06_09,uapd::1163::1163_2_5,highrpd,uapd,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00071_640_06_09.jpg,data/external_uav/uapd/extracted/JPEGImages/1163_2_5.JPG,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-17,highrpd::1x00111::1x00111_640_03_08,uav_pdd2023::phash6_2e9485709add::lr_00468_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00111_640_03_08.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/lr_00468_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-18,highrpd::1x00045::1x00045_640_10_07,uav_pdd2023::phash6_3301fe6f0c11::tb_00489_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00045_640_10_07.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/tb_00489_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-19,highrpd::1x00047::1x00047_640_03_04,uav_pdd2023::phash6_3678e6d8c4c2::tb_00446_top_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00047_640_03_04.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/tb_00446_top_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-20,highrpd::1x00153::1x00153_640_13_07,uav_pdd2023::phash6_3d8d355db020::lr_00399_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00153_640_13_07.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/lr_00399_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-21,highrpd::1x00025::1x00025_640_11_08,uav_pdd2023::phash6_3d9fcd11e89b::r180_00391_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00025_640_11_08.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/r180_00391_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-22,highrpd::dji_20231030152147_0110::dji_20231030152147_0110_640_07_06,uav_pdd2023::phash6_3d9fcd11e89b::r180_00391_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/dji_20231030152147_0110_640_07_06.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/r180_00391_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-23,highrpd::1x00066::1x00066_640_13_07,uav_pdd2023::phash6_550b92238bd7::lr_00034_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00066_640_13_07.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/lr_00034_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-24,highrpd::dji_20231030143955_0077::dji_20231030143955_0077_640_02_06,uav_pdd2023::phash6_691db09e09be::lr_00496_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/dji_20231030143955_0077_640_02_06.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/lr_00496_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-25,rdd2022_china_drone::phash6_56e809549b6d::china_drone_001342,uav_pdd2023::phash6_829d00ae2039::tb_00500_top_right,rdd2022_china_drone,uav_pdd2023,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001342.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/tb_00500_top_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-26,highrpd::dji_20231030143908_0050::dji_20231030143908_0050_640_05_05,uav_pdd2023::phash6_aa6215d2da5e::lr_00518_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/dji_20231030143908_0050_640_05_05.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/lr_00518_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-27,highrpd::dji_20230707095200_0366::dji_20230707095200_0366_640_04_06,uav_pdd2023::phash6_bc54c7bb028a::tb_00512_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707095200_0366_640_04_06.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/tb_00512_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-28,highrpd::dji_20230707095142_0349::dji_20230707095142_0349_640_05_06,uav_pdd2023::phash6_c37a6df070be::tb_00522_bottom_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707095142_0349_640_05_06.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/tb_00522_bottom_right.jpg,4,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-29,rdd2022_china_drone::phash6_41aec488dd79::china_drone_001037,uav_pdd2023::phash6_c5d50d64ba12::r180_00485_top_right,rdd2022_china_drone,uav_pdd2023,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001037.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/r180_00485_top_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-30,rdd2022_china_drone::phash6_5a0aa8dd0bd7::china_drone_001215,uav_pdd2023::phash6_d18d18ef6f53::tb_00391_bottom_right,rdd2022_china_drone,uav_pdd2023,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001215.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/tb_00391_bottom_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-31,highrpd::dji_20230707094627_0046::dji_20230707094627_0046_640_08_06,uav_pdd2023::phash6_e69d383444ea::lr_00472_top_right,highrpd,uav_pdd2023,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094627_0046_640_08_06.jpg,data/external_uav/uav_pdd2023/extracted/JPEGImages/lr_00472_top_right.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
