model_dataset,split,sample_id,dataset_id,original_id,isolation_group_id,image_path,materialized_image,materialized_label,is_verified_negative,longitudinal_objects,transverse_objects,alligator_objects,pothole_objects,total_objects
m_uav0,train,rdd2022_china_drone::phash6_019c04864303::china_drone_000451,rdd2022_china_drone,China_Drone_000451,phash6_019c04864303,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000451.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/fb0d0bde5ed3cde0996f.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/fb0d0bde5ed3cde0996f.txt,false,0,0,0,1,1
m_uav0,train,rdd2022_china_drone::phash6_01a4f2e6d682::china_drone_001041,rdd2022_china_drone,China_Drone_001041,phash6_01a4f2e6d682,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001041.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/6185e05b71304a1ff5cd.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/6185e05b71304a1ff5cd.txt,false,1,0,1,0,2
m_uav0,train,rdd2022_china_drone::phash6_01f2d1460cc3::china_drone_000969,rdd2022_china_drone,China_Drone_000969,phash6_01f2d1460cc3,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000969.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/7ecbc2e7cbdd3ef87fca.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/7ecbc2e7cbdd3ef87fca.txt,false,0,3,0,0,3
m_uav0,train,rdd2022_china_drone::phash6_01f631ccfd2f::china_drone_001899,rdd2022_china_drone,China_Drone_001899,phash6_01f631ccfd2f,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001899.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/01fd91a212dd4c912fac.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/01fd91a212dd4c912fac.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_02748984e2e4::china_drone_000432,rdd2022_china_drone,China_Drone_000432,phash6_02748984e2e4,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000432.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/2f62164e1e7303902bce.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/2f62164e1e7303902bce.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_031d5073e696::china_drone_002365,rdd2022_china_drone,China_Drone_002365,phash6_031d5073e696,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002365.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/3bdc7772016979d58504.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/3bdc7772016979d58504.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_034f96f153bd::china_drone_002322,rdd2022_china_drone,China_Drone_002322,phash6_034f96f153bd,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002322.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/cfd12c27a08fb68a7f0c.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/cfd12c27a08fb68a7f0c.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0375ed57e513::china_drone_000612,rdd2022_china_drone,China_Drone_000612,phash6_0375ed57e513,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000612.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/0851372eb38a42a1d508.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/0851372eb38a42a1d508.txt,false,2,1,0,0,3
m_uav0,train,rdd2022_china_drone::phash6_03a18d318bcd::china_drone_000155,rdd2022_china_drone,China_Drone_000155,phash6_03a18d318bcd,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000155.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/3cd0cb811a0ca7c15238.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/3cd0cb811a0ca7c15238.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_03ece26a7ee4::china_drone_000566,rdd2022_china_drone,China_Drone_000566,phash6_03ece26a7ee4,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000566.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/f5e58cd2b6594a80218c.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/f5e58cd2b6594a80218c.txt,false,0,0,1,0,1
m_uav0,train,rdd2022_china_drone::phash6_046984c0de79::china_drone_002265,rdd2022_china_drone,China_Drone_002265,phash6_046984c0de79,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002265.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/7625995ab3bf39da199f.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/7625995ab3bf39da199f.txt,false,4,1,0,0,5
m_uav0,train,rdd2022_china_drone::phash6_04a17899435b::china_drone_000300,rdd2022_china_drone,China_Drone_000300,phash6_04a17899435b,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000300.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/7cfe21335997736b21c3.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/7cfe21335997736b21c3.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_04ad2ee0866e::china_drone_001661,rdd2022_china_drone,China_Drone_001661,phash6_04ad2ee0866e,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001661.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/d9ab32dae52df3646ff8.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/d9ab32dae52df3646ff8.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_04f2bc308ae3::china_drone_001240,rdd2022_china_drone,China_Drone_001240,phash6_04f2bc308ae3,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001240.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/d6bfd52d779e12d9f525.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/d6bfd52d779e12d9f525.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0519ef6b1c70::china_drone_002069,rdd2022_china_drone,China_Drone_002069,phash6_0519ef6b1c70,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002069.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/e3e18511b581f5895b3a.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/e3e18511b581f5895b3a.txt,false,0,0,1,0,1
m_uav0,train,rdd2022_china_drone::phash6_05a14d82c2ff::china_drone_002149,rdd2022_china_drone,China_Drone_002149,phash6_05a14d82c2ff,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002149.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/c172a5513e12290d14cc.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/c172a5513e12290d14cc.txt,false,0,2,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_05ce802b8fa2::china_drone_001859,rdd2022_china_drone,China_Drone_001859,phash6_05ce802b8fa2,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001859.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/4fff3e5ebda442b3f849.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/4fff3e5ebda442b3f849.txt,false,0,0,1,0,1
m_uav0,train,rdd2022_china_drone::phash6_05d25e1a01d8::china_drone_000703,rdd2022_china_drone,China_Drone_000703,phash6_05d25e1a01d8,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000703.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/3e61fe03ca585bc26871.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/3e61fe03ca585bc26871.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_05e76bab4618::china_drone_001800,rdd2022_china_drone,China_Drone_001800,phash6_05e76bab4618,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001800.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/e311b8e2717c2f060111.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/e311b8e2717c2f060111.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_06510332d5a0::china_drone_000390,rdd2022_china_drone,China_Drone_000390,phash6_06510332d5a0,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000390.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/13b4cbf6d1542bd68eab.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/13b4cbf6d1542bd68eab.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_07b82c1e32b8::china_drone_000134,rdd2022_china_drone,China_Drone_000134,phash6_07b82c1e32b8,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000134.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/200786d5701463351902.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/200786d5701463351902.txt,false,1,1,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_07bf65059a96::china_drone_002033,rdd2022_china_drone,China_Drone_002033,phash6_07bf65059a96,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002033.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/e3f36d3aac5bb861c5fc.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/e3f36d3aac5bb861c5fc.txt,false,3,0,0,0,3
m_uav0,train,rdd2022_china_drone::phash6_07d06c0f872e::china_drone_002382,rdd2022_china_drone,China_Drone_002382,phash6_07d06c0f872e,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002382.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/a1603215981b33b9c00a.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/a1603215981b33b9c00a.txt,false,1,1,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0807054ba443::china_drone_001106,rdd2022_china_drone,China_Drone_001106,phash6_0807054ba443,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001106.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/c1d80eaf26c39fa0f39f.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/c1d80eaf26c39fa0f39f.txt,false,2,1,0,0,3
m_uav0,train,rdd2022_china_drone::phash6_0833896ed58c::china_drone_001617,rdd2022_china_drone,China_Drone_001617,phash6_0833896ed58c,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001617.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/1a35f2ca948cbff60c39.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/1a35f2ca948cbff60c39.txt,false,2,0,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_08696b03fbb1::china_drone_001790,rdd2022_china_drone,China_Drone_001790,phash6_08696b03fbb1,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001790.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/178a073e5225d89b9ac1.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/178a073e5225d89b9ac1.txt,false,0,0,1,0,1
m_uav0,train,rdd2022_china_drone::phash6_089e711e85d2::china_drone_000617,rdd2022_china_drone,China_Drone_000617,phash6_089e711e85d2,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000617.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/393442008ba403064d85.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/393442008ba403064d85.txt,false,0,2,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0906b56f8fd8::china_drone_000463,rdd2022_china_drone,China_Drone_000463,phash6_0906b56f8fd8,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000463.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/dacfdef126dadc6407b8.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/dacfdef126dadc6407b8.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_09a0a233fa4c::china_drone_001776,rdd2022_china_drone,China_Drone_001776,phash6_09a0a233fa4c,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001776.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/96c3713f9294bb501a13.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/96c3713f9294bb501a13.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_09b5ff6884d0::china_drone_001896,rdd2022_china_drone,China_Drone_001896,phash6_09b5ff6884d0,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001896.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/9f8746a877414ef0e351.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/9f8746a877414ef0e351.txt,false,5,0,0,0,5
m_uav0,train,rdd2022_china_drone::phash6_09ec58fc024d::china_drone_001055,rdd2022_china_drone,China_Drone_001055,phash6_09ec58fc024d,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001055.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/1b0125e3096b3918e881.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/1b0125e3096b3918e881.txt,false,0,0,1,0,1
m_uav0,train,rdd2022_china_drone::phash6_0a06f8fdc9f3::china_drone_000688,rdd2022_china_drone,China_Drone_000688,phash6_0a06f8fdc9f3,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000688.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/be2fe76c8891b647a4b8.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/be2fe76c8891b647a4b8.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0a0f074a185a::china_drone_001539,rdd2022_china_drone,China_Drone_001539,phash6_0a0f074a185a,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001539.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/43199cc1ca5dcdaca9b1.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/43199cc1ca5dcdaca9b1.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0a7ee57c23e7::china_drone_002047,rdd2022_china_drone,China_Drone_002047,phash6_0a7ee57c23e7,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002047.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/32f6883f91cd0e5dfc29.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/32f6883f91cd0e5dfc29.txt,false,1,1,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0a88b3155770::china_drone_000356,rdd2022_china_drone,China_Drone_000356,phash6_0a88b3155770,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000356.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/d6032359f9c0b96d1bb9.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/d6032359f9c0b96d1bb9.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0b404ad90267::china_drone_000840,rdd2022_china_drone,China_Drone_000840,phash6_0b404ad90267,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000840.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/f77ff5fa87897eb002e1.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/f77ff5fa87897eb002e1.txt,false,0,2,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0b97466483f1::china_drone_001054,rdd2022_china_drone,China_Drone_001054,phash6_0b97466483f1,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001054.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/9ee053fc3697388fa7ce.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/9ee053fc3697388fa7ce.txt,false,1,1,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0baf892dfaa3::china_drone_001950,rdd2022_china_drone,China_Drone_001950,phash6_0baf892dfaa3,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001950.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/d61ef2b74eac774dc7ab.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/d61ef2b74eac774dc7ab.txt,false,1,1,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0bfe85782b98::china_drone_002251,rdd2022_china_drone,China_Drone_002251,phash6_0bfe85782b98,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002251.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/717051cef8c152fb01c1.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/717051cef8c152fb01c1.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0c42c977cbd7::china_drone_001408,rdd2022_china_drone,China_Drone_001408,phash6_0c42c977cbd7,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001408.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/65fc00bbacc1cc213ece.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/65fc00bbacc1cc213ece.txt,false,0,2,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0c42de7ba7b0::china_drone_000085,rdd2022_china_drone,China_Drone_000085,phash6_0c42de7ba7b0,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000085.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/43b2c88b3b28882aef34.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/43b2c88b3b28882aef34.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0c7084a39db5::china_drone_001500,rdd2022_china_drone,China_Drone_001500,phash6_0c7084a39db5,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001500.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/0f272bedf249760a7dec.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/0f272bedf249760a7dec.txt,false,0,0,1,0,1
m_uav0,train,rdd2022_china_drone::phash6_0c846165fab7::china_drone_002040,rdd2022_china_drone,China_Drone_002040,phash6_0c846165fab7,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002040.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/7e407d549e08669aa041.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/7e407d549e08669aa041.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0c970b1e0d69::china_drone_000180,rdd2022_china_drone,China_Drone_000180,phash6_0c970b1e0d69,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000180.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/63e6f9bdcbeba23dd1bf.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/63e6f9bdcbeba23dd1bf.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0cb1618a19ec::china_drone_001688,rdd2022_china_drone,China_Drone_001688,phash6_0cb1618a19ec,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001688.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/4b34e989335027c411a0.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/4b34e989335027c411a0.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0cbcd52c1cb7::china_drone_000618,rdd2022_china_drone,China_Drone_000618,phash6_0cbcd52c1cb7,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000618.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/4c27ca4bb5f419f6ea6f.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/4c27ca4bb5f419f6ea6f.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0d0762dd572a::china_drone_002295,rdd2022_china_drone,China_Drone_002295,phash6_0d0762dd572a,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002295.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/5d2644d40d2334b2847b.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/5d2644d40d2334b2847b.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0d1dc78a922f::china_drone_000716,rdd2022_china_drone,China_Drone_000716,phash6_0d1dc78a922f,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000716.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/8a6993bda8e237fa540a.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/8a6993bda8e237fa540a.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0d4941b7fa7a::china_drone_001860,rdd2022_china_drone,China_Drone_001860,phash6_0d4941b7fa7a,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001860.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/27111b8275a0e15c0392.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/27111b8275a0e15c0392.txt,false,0,1,0,0,1
