sample_id,dataset_id,original_id,isolation_group_id,remediated_partition,phase1_role,present_in_phase1_harmonized_view,image_path,annotation_path,source_classes,decision_category,include_as_negative,pilot_action,evidence,reviewer,review_date
rdd2022_china_drone::phash6_0b63a36b3af9::china_drone_001435,rdd2022_china_drone,China_Drone_001435,phash6_0b63a36b3af9,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001435.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001435.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0be75aa0a2f8::china_drone_000794,rdd2022_china_drone,China_Drone_000794,phash6_0be75aa0a2f8,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000794.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000794.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0bf9d85e0cb2::china_drone_000923,rdd2022_china_drone,China_Drone_000923,phash6_0bf9d85e0cb2,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000923.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000923.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0c976378faf8::china_drone_000477,rdd2022_china_drone,China_Drone_000477,phash6_0c976378faf8,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000477.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000477.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0cbacf5e2144::china_drone_000156,rdd2022_china_drone,China_Drone_000156,phash6_0cbacf5e2144,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000156.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000156.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0cfc23a150e2::china_drone_000231,rdd2022_china_drone,China_Drone_000231,phash6_0cfc23a150e2,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000231.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000231.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0d6a4d52d791::china_drone_001538,rdd2022_china_drone,China_Drone_001538,phash6_0d6a4d52d791,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001538.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001538.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0dc1f3af8078::china_drone_000887,rdd2022_china_drone,China_Drone_000887,phash6_0dc1f3af8078,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000887.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000887.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0ef57552f158::china_drone_000214,rdd2022_china_drone,China_Drone_000214,phash6_0ef57552f158,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000214.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000214.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0ff7ac557fda::china_drone_000377,rdd2022_china_drone,China_Drone_000377,phash6_0ff7ac557fda,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000377.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000377.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_10eedfb0ba56::china_drone_000610,rdd2022_china_drone,China_Drone_000610,phash6_10eedfb0ba56,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000610.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000610.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_11ecd89fdfc9::china_drone_000288,rdd2022_china_drone,China_Drone_000288,phash6_11ecd89fdfc9,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000288.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000288.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_12f04032fbd9::china_drone_001179,rdd2022_china_drone,China_Drone_001179,phash6_12f04032fbd9,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001179.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001179.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_13f16c0e6f55::china_drone_000071,rdd2022_china_drone,China_Drone_000071,phash6_13f16c0e6f55,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000071.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000071.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1410437a933b::china_drone_000565,rdd2022_china_drone,China_Drone_000565,phash6_1410437a933b,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000565.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000565.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_15fd6e446f72::china_drone_000725,rdd2022_china_drone,China_Drone_000725,phash6_15fd6e446f72,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000725.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000725.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_16f2d13e3e04::china_drone_000371,rdd2022_china_drone,China_Drone_000371,phash6_16f2d13e3e04,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000371.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000371.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_171fc9fcde98::china_drone_001236,rdd2022_china_drone,China_Drone_001236,phash6_171fc9fcde98,train,sam2_development,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001236.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001236.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_17f4c69210f3::china_drone_000396,rdd2022_china_drone,China_Drone_000396,phash6_17f4c69210f3,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000396.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000396.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1822e628b23a::china_drone_001174,rdd2022_china_drone,China_Drone_001174,phash6_1822e628b23a,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001174.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001174.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_19282684789d::china_drone_001170,rdd2022_china_drone,China_Drone_001170,phash6_19282684789d,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001170.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001170.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_197c5b5136b7::china_drone_002131,rdd2022_china_drone,China_Drone_002131,phash6_197c5b5136b7,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002131.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002131.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1a196aef6abd::china_drone_000780,rdd2022_china_drone,China_Drone_000780,phash6_1a196aef6abd,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000780.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000780.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1a6e68376eeb::china_drone_002314,rdd2022_china_drone,China_Drone_002314,phash6_1a6e68376eeb,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002314.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002314.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1b3148a2bcfb::china_drone_002118,rdd2022_china_drone,China_Drone_002118,phash6_1b3148a2bcfb,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002118.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002118.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1b6687cbe1bc::china_drone_001711,rdd2022_china_drone,China_Drone_001711,phash6_1b6687cbe1bc,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001711.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001711.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1bc557e4b655::china_drone_000362,rdd2022_china_drone,China_Drone_000362,phash6_1bc557e4b655,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000362.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000362.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_1dc5b5a52121::china_drone_001525,rdd2022_china_drone,China_Drone_001525,phash6_1dc5b5a52121,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001525.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001525.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_22c6484c5b59::china_drone_002343,rdd2022_china_drone,China_Drone_002343,phash6_22c6484c5b59,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002343.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002343.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2389b2972153::china_drone_000788,rdd2022_china_drone,China_Drone_000788,phash6_2389b2972153,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000788.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000788.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_23d17c7364ba::china_drone_001274,rdd2022_china_drone,China_Drone_001274,phash6_23d17c7364ba,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001274.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001274.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_23f8f8255a0f::china_drone_000418,rdd2022_china_drone,China_Drone_000418,phash6_23f8f8255a0f,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000418.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000418.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_241964890c5a::china_drone_001550,rdd2022_china_drone,China_Drone_001550,phash6_241964890c5a,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001550.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001550.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_262b31269ee9::china_drone_001107,rdd2022_china_drone,China_Drone_001107,phash6_262b31269ee9,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001107.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001107.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2644666bb74d::china_drone_000627,rdd2022_china_drone,China_Drone_000627,phash6_2644666bb74d,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000627.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000627.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_27060da02bbb::china_drone_000044,rdd2022_china_drone,China_Drone_000044,phash6_27060da02bbb,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000044.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000044.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_27cdffbdb1c6::china_drone_000841,rdd2022_china_drone,China_Drone_000841,phash6_27cdffbdb1c6,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000841.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000841.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_27e0966d2542::china_drone_000125,rdd2022_china_drone,China_Drone_000125,phash6_27e0966d2542,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000125.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000125.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_27e3ce554593::china_drone_000976,rdd2022_china_drone,China_Drone_000976,phash6_27e3ce554593,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000976.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000976.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2ca153c7603e::china_drone_002196,rdd2022_china_drone,China_Drone_002196,phash6_2ca153c7603e,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002196.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002196.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2d668349b2fa::china_drone_000465,rdd2022_china_drone,China_Drone_000465,phash6_2d668349b2fa,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000465.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000465.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2dfaa270817b::china_drone_001492,rdd2022_china_drone,China_Drone_001492,phash6_2dfaa270817b,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001492.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001492.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2e4a9bc1c86c::china_drone_001300,rdd2022_china_drone,China_Drone_001300,phash6_2e4a9bc1c86c,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001300.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001300.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2eab0c112386::china_drone_002011,rdd2022_china_drone,China_Drone_002011,phash6_2eab0c112386,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002011.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002011.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_2ee080ba9b6e::china_drone_002296,rdd2022_china_drone,China_Drone_002296,phash6_2ee080ba9b6e,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002296.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_002296.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
