segment,day,image_id,metadata_status,domain_status,dino_ood_score,raw_domain_distance,reliability_score,reliability_band,yolo_max_confidence,yolo_prediction_count,current_severity,current_severity_band,defect_count,defect_area_ratio,crack_area_ratio,surface_anomaly_score,water_flag,temporal_eligible,temporal_state,severity_delta,defect_area_delta,matched_track_count,normal_90d,heavy_rain_90d,heavy_traffic_90d,high_heat_90d,wet_exposure_90d,largest_forecast_scenario,largest_forecast_delta,forecast_change_band,decision,primary_reason,secondary_reason,limitations
SEG_002,1,SEG_002_day_01,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5977,0.7285,MEDIUM,0.6193807721138,1,0.3155,MODERATE_MODEL_SEVERITY,2,0.001281,0.0,0.277,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.0097,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.3155) with MEDIUM reliability (0.7285).,Temporal trend is NO_TEMPORAL_CONTEXT; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0097).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,2,SEG_002_day_02,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6882,0.6254,MEDIUM,0.5139375329017639,1,0.3498,MODERATE_MODEL_SEVERITY,2,0.000254,0.0,0.272,False,True,STABLE_MODEL_RESPONSE,0.0343,-0.001027,2,0.3108,0.3108,0.3303,0.3194,0.33,HEAVY_TRAFFIC,-0.0195,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.3498) with MEDIUM reliability (0.6254).,Temporal trend is STABLE_MODEL_RESPONSE; HEAVY_TRAFFIC scenario produces largest 90-day increase (+-0.0195).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,3,SEG_002_day_03,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.261,MODERATE_MODEL_SEVERITY,1,0.002742,0.0,0.2747,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0393,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.2610) with HIGH reliability (0.8800).,Temporal trend is NO_TEMPORAL_CONTEXT; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0393).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,4,SEG_002_day_04,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6882,0.6254,MEDIUM,0.5139375329017639,1,0.3687,MODERATE_MODEL_SEVERITY,3,0.001065,0.0,0.26,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.3283,0.3283,0.3478,0.3368,0.3475,HEAVY_TRAFFIC,-0.0209,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.3687) with MEDIUM reliability (0.6254).,Temporal trend is NO_TEMPORAL_CONTEXT; HEAVY_TRAFFIC scenario produces largest 90-day increase (+-0.0209).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,5,SEG_002_day_05,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6461,0.7562,MEDIUM,0.6515924334526062,1,0.7078,HIGH_MODEL_SEVERITY,5,0.020932,0.0,0.2949,False,True,INCREASING_MODEL_RESPONSE,0.3391,0.019866,0,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.0567,MODERATE_FORECAST_CHANGE,PRIORITY_REVIEW,HIGH current model severity (0.7078) with MEDIUM perception reliability (0.7562).,Confirmed by increasing model-observed severity trend (+0.3391); largest forecast scenario is HEAVY_TRAFFIC (+0.0567).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,6,SEG_002_day_06,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6765,0.4518,LOW,0.357035368680954,2,0.3491,MODERATE_MODEL_SEVERITY,2,0.000221,0.0,0.269,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.3108,0.3108,0.3303,0.3194,0.33,HEAVY_TRAFFIC,-0.0188,LOW_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.4518) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,7,SEG_002_day_07,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6712,0.5967,LOW,0.487064003944397,1,0.2551,MODERATE_MODEL_SEVERITY,1,0.002265,0.0,0.2662,False,True,INCREASING_MODEL_RESPONSE,-0.094,0.002043,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0452,LOW_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.5967) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,8,SEG_002_day_08,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6882,0.6253,MEDIUM,0.51381915807724,1,0.3288,MODERATE_MODEL_SEVERITY,1,0.00073,0.0,0.2852,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,-0.0036,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.3288) with MEDIUM reliability (0.6253).,Temporal trend is NO_TEMPORAL_CONTEXT; HEAVY_TRAFFIC scenario produces largest 90-day increase (+-0.0036).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,9,SEG_002_day_09,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.3276,MODERATE_MODEL_SEVERITY,1,0.000797,0.0,0.2757,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,-0.0024,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.3276) with HIGH reliability (0.8800).,Temporal trend is NO_TEMPORAL_CONTEXT; HEAVY_TRAFFIC scenario produces largest 90-day increase (+-0.0024).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_002,10,SEG_002_day_10,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.3275,MODERATE_MODEL_SEVERITY,1,0.000808,0.0,0.2774,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,-0.0023,LOW_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.3275) with HIGH reliability (0.8800).,Temporal trend is NO_TEMPORAL_CONTEXT; HEAVY_TRAFFIC scenario produces largest 90-day increase (+-0.0023).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,1,SEG_003_day_01,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6412,0.521,LOW,0.4187159538269043,1,0.2472,MODERATE_MODEL_SEVERITY,1,0.002455,0.0,0.2903,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0531,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.5210) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,2,SEG_003_day_02,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6284,0.4986,LOW,0.39871880412101746,1,0.2447,MODERATE_MODEL_SEVERITY,1,0.001074,0.0,0.2921,False,True,STABLE_MODEL_RESPONSE,-0.0025,-0.001381,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0556,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.4986) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,3,SEG_003_day_03,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6125,0.5716,LOW,0.46408185362815857,1,0.2435,MODERATE_MODEL_SEVERITY,1,0.000918,0.0,0.2929,False,True,STABLE_MODEL_RESPONSE,-0.0012,-0.000156,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0568,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.5716) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,4,SEG_003_day_04,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5867,0.7246,MEDIUM,0.6149522662162781,1,0.2417,MODERATE_MODEL_SEVERITY,1,0.000957,0.0,0.272,False,True,STABLE_MODEL_RESPONSE,-0.0018,3.9e-05,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0586,MODERATE_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.2417) with MEDIUM reliability (0.7246).,Temporal trend is STABLE_MODEL_RESPONSE; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0586).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,5,SEG_003_day_05,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.244,MODERATE_MODEL_SEVERITY,1,0.001046,0.0,0.2768,False,True,STABLE_MODEL_RESPONSE,0.0023,9e-05,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0563,MODERATE_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.2440) with HIGH reliability (0.8800).,Temporal trend is STABLE_MODEL_RESPONSE; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0563).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,6,SEG_003_day_06,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5475,0.3903,LOW,0.30090704560279846,1,0.2436,MODERATE_MODEL_SEVERITY,1,0.001075,0.0,0.2813,False,True,STABLE_MODEL_RESPONSE,-0.0004,2.8e-05,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0567,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.3903) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,7,SEG_003_day_07,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.2459,MODERATE_MODEL_SEVERITY,1,0.000979,0.0,0.2791,False,True,STABLE_MODEL_RESPONSE,0.0023,-9.6e-05,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.2459) with HIGH reliability (0.8800).,Temporal trend is STABLE_MODEL_RESPONSE; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,8,SEG_003_day_08,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6284,0.4984,LOW,0.3985756039619446,1,0.2443,MODERATE_MODEL_SEVERITY,1,0.000996,0.0,0.2879,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.056,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.4984) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,9,SEG_003_day_09,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.2437,MODERATE_MODEL_SEVERITY,1,0.000988,0.0,0.2889,False,True,STABLE_MODEL_RESPONSE,-0.0006,-8e-06,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0566,MODERATE_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.2437) with HIGH reliability (0.8800).,Temporal trend is STABLE_MODEL_RESPONSE; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0566).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_003,10,SEG_003_day_10,METADATA_MISSING_DIAGNOSTIC,EXTREME_DOMAIN_SHIFT,1.0,0.5475,0.3903,LOW,0.30090704560279846,1,0.2459,MODERATE_MODEL_SEVERITY,1,0.002433,0.0,0.2921,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,Metadata diagnostic flag: Camera preset missing from ingest sidecar; default camera and physical parameters applied.,Current model severity is 0.2459 (MODERATE_MODEL_SEVERITY); forecast projects HEAVY_TRAFFIC delta of +0.0544.,Missing camera/lighting metadata sidecar.
SEG_004,1,SEG_004_day_01,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6921,0.6148,MEDIUM,0.5038509964942932,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.2748,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,"Observation classified into routine monitoring tier (Severity: 0.0000, Reliability: 0.6148).",Temporal trend is NO_TEMPORAL_CONTEXT; forecast indicates MODERATE_FORECAST_CHANGE (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,2,SEG_004_day_02,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6921,0.6148,MEDIUM,0.5038509964942932,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.2967,False,True,STABLE_MODEL_RESPONSE,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,"Observation classified into routine monitoring tier (Severity: 0.0000, Reliability: 0.6148).",Temporal trend is STABLE_MODEL_RESPONSE; forecast indicates MODERATE_FORECAST_CHANGE (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,3,SEG_004_day_03,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6921,0.6144,MEDIUM,0.5035654306411743,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.2781,False,True,STABLE_MODEL_RESPONSE,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,"Observation classified into routine monitoring tier (Severity: 0.0000, Reliability: 0.6144).",Temporal trend is STABLE_MODEL_RESPONSE; forecast indicates MODERATE_FORECAST_CHANGE (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,4,SEG_004_day_04,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6453,0.7562,MEDIUM,0.651544988155365,1,0.315,MODERATE_MODEL_SEVERITY,2,0.001154,0.0,0.287,False,True,INCREASING_MODEL_RESPONSE,0.315,0.001154,0,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.0102,LOW_FORECAST_CHANGE,PRIORITY_REVIEW,Rapid model-observed severity increase (+0.3150) across consecutive same-camera inspection states.,Current severity is 0.3150 (MODERATE_MODEL_SEVERITY); HEAVY_TRAFFIC scenario forecast projects +0.0102 change.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,5,SEG_004_day_05,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6897,0.444,LOW,0.35000088810920715,2,0.7302,HIGH_MODEL_SEVERITY,4,0.026687,0.0,0.284,False,True,INCREASING_MODEL_RESPONSE,0.4152,0.025534,1,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.0343,LOW_FORECAST_CHANGE,PRIORITY_REVIEW,Severe model-derived distress (0.7302) accompanied by LOW perception reliability (0.4440).,High apparent distress requires urgent verification despite perceptual ambiguity.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,6,SEG_004_day_06,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5909,0.7541,MEDIUM,0.6490687131881714,1,0.6612,HIGH_MODEL_SEVERITY,6,0.01049,0.0,0.3076,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.6213,0.6213,0.6412,0.6311,0.6381,HEAVY_TRAFFIC,-0.02,LOW_FORECAST_CHANGE,PRIORITY_REVIEW,HIGH current model severity (0.6612) with MEDIUM perception reliability (0.7541).,Critical distress detected; HEAVY_TRAFFIC scenario produces largest 90-day forecast increase (+-0.0200).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,7,SEG_004_day_07,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6435,0.7642,MEDIUM,0.6613386869430542,1,0.8134,HIGH_MODEL_SEVERITY,12,0.022511,0.0,0.3428,True,True,INCREASING_MODEL_RESPONSE,0.1522,0.01202,2,0.7892,0.7892,0.8092,0.7982,0.8056,HEAVY_TRAFFIC,-0.0042,LOW_FORECAST_CHANGE,PRIORITY_REVIEW,HIGH current model severity (0.8134) with MEDIUM perception reliability (0.7642).,Confirmed by increasing model-observed severity trend (+0.1522); largest forecast scenario is HEAVY_TRAFFIC (+-0.0042).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,8,SEG_004_day_08,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6082,0.7077,MEDIUM,0.5964913964271545,1,0.8104,HIGH_MODEL_SEVERITY,11,0.018253,0.0,0.3394,True,True,MIXED_OR_CONFOUNDED_CHANGE,-0.003,-0.004257,11,0.7892,0.7892,0.8092,0.7982,0.8056,HEAVY_TRAFFIC,-0.0012,LOW_FORECAST_CHANGE,PRIORITY_REVIEW,HIGH current model severity (0.8104) with MEDIUM perception reliability (0.7077).,Model response is environmentally modulated by lighting shift; forecast projects HEAVY_TRAFFIC delta of +-0.0012.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,9,SEG_004_day_09,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.2515,False,True,MIXED_OR_CONFOUNDED_CHANGE,-0.8104,-0.018253,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,LOW model severity (0.0000) but input visual domain differs from training ODD (d=0.7445 > 0.4491).,Assigned to monitoring tier as domain safety precaution; forecast delta is +0.0544.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_004,10,SEG_004_day_10,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5909,0.7541,MEDIUM,0.6490687131881714,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.2885,False,True,MIXED_OR_CONFOUNDED_CHANGE,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,"Observation classified into routine monitoring tier (Severity: 0.0000, Reliability: 0.7541).",Temporal trend is MIXED_OR_CONFOUNDED_CHANGE; forecast indicates MODERATE_FORECAST_CHANGE (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
