site_id,state,state_code,shrp_id,construction_no,current_date,future_date,observed_days_ahead,days_ahead,current_iri_m_per_km,future_iri_m_per_km,rainfall_level,traffic_level,temperature,water_exposure,rain_observation_days,temperature_observation_days,traffic_source
02-9035,AK,2,9035,4,2003-06-19,2005-05-09,690,690,1.370000005,1.787999988,2.301304346,160.000000000,2.823188421,0.501449275,690,690,TRF_REP
15-1003,HI,15,1003,1,1991-02-21,1993-02-03,713,720,2.515000105,2.440999985,1.899158494,164.000000000,24.259186540,0.465638149,713,713,TRF_REP
15-1003,HI,15,1003,1,1995-03-23,1997-02-20,700,690,2.404000044,2.525000095,2.360142860,80.000000000,24.365142855,0.448571429,700,700,TRF_MEPDG_AADTT_LTPP_LN
15-1003,HI,15,1003,1,2001-09-06,2003-03-14,554,540,2.500000000,2.463999987,2.563357408,160.000000000,23.850180447,0.418772563,554,554,TRF_MEPDG_AADTT_LTPP_LN
15-1006,HI,15,1006,1,1991-02-22,1993-02-02,711,720,2.420000076,2.332000017,1.899437411,188.000000000,24.272714500,0.466947961,711,711,TRF_REP
15-1006,HI,15,1006,1,1995-03-21,1997-02-20,702,690,2.661999941,2.378999949,2.367236485,188.000000000,24.358546991,0.447293447,702,702,TRF_REP
15-1006,HI,15,1006,1,2001-09-05,2003-03-13,554,540,2.361999989,2.318000078,2.552166067,180.000000000,23.864801400,0.411552347,554,554,TRF_MEPDG_AADTT_LTPP_LN
15-1008,HI,15,1008,1,1991-02-27,1993-02-18,722,720,1.807000041,1.875000000,2.345983380,333.000000000,23.812083324,0.418282548,722,720,TRF_REP
15-1008,HI,15,1008,1,1995-03-29,1997-02-10,684,690,1.804999948,1.875000000,2.995175449,285.000000000,24.003074649,0.422514620,684,683,TRF_MEPDG_AADTT_LTPP_LN
15-1008,HI,15,1008,1,2001-09-11,2003-03-06,541,540,2.102999926,2.168999910,2.253049912,490.000000000,23.026617353,0.402957486,541,541,TRF_MEPDG_AADTT_LTPP_LN
15-7080,HI,15,7080,1,1991-02-25,1993-02-17,723,720,1.529000044,1.506000042,1.389073304,236.000000000,24.456865464,0.575380360,723,721,TRF_REP
15-7080,HI,15,7080,1,1995-03-28,1997-02-11,686,690,1.455999970,1.516999960,1.791253645,236.000000000,24.684525555,0.552478134,686,685,TRF_REP
15-7080,HI,15,7080,1,2001-09-10,2003-03-05,541,540,1.422000051,1.455000043,1.497412198,236.000000000,23.762107169,0.539741220,541,541,TRF_REP
22-3056,LA,22,3056,1,1990-05-31,1992-01-24,603,600,0.745000005,0.847000003,4.587562168,500.000000000,20.059701516,0.495854063,603,603,TRF_REP
22-3056,LA,22,3056,1,1992-01-24,1994-01-13,720,720,0.847000003,0.815999985,3.970277788,500.000000000,19.022777772,0.493055556,720,720,TRF_REP
22-3056,LA,22,3056,1,1994-01-13,1995-06-01,504,510,0.815999985,0.970000029,5.143452356,500.000000000,18.625198433,0.537698413,504,504,TRF_REP
22-4001,LA,22,4001,1,1990-06-01,1991-12-12,559,570,1.748999953,1.929000020,4.468157406,1172.000000000,21.107692286,0.579606440,559,559,TRF_REP
22-4001,LA,22,4001,1,1993-12-17,1995-06-02,532,540,1.973000050,2.217999935,4.931390993,1172.000000000,18.366729323,0.554511278,532,532,TRF_REP
36-1008,NY,36,1008,2,1990-06-05,1991-07-30,420,420,1.223000050,1.164000034,2.898809543,375.000000000,10.787142837,0.571428571,420,420,TRF_REP
36-1008,NY,36,1008,2,1991-07-30,1992-10-23,451,450,1.164000034,0.989000022,3.295121949,375.000000000,8.904656321,0.616407982,451,451,TRF_REP
36-1008,NY,36,1008,2,1992-10-23,1993-07-29,279,270,0.989000022,1.164000034,3.670250897,375.000000000,5.202150563,0.612903226,279,279,TRF_REP
36-1008,NY,36,1008,2,1993-07-29,1994-09-07,405,420,1.164000034,1.036999941,3.550864181,375.000000000,8.296790127,0.637037037,405,405,TRF_REP
36-1008,NY,36,1008,2,1994-09-07,1995-06-13,279,270,1.036999941,1.016000032,2.338709665,375.000000000,5.515770614,0.537634409,279,279,TRF_REP
36-1008,NY,36,1008,2,1999-08-26,2000-04-20,238,240,1.240000010,1.360999942,2.539075618,375.000000000,5.010504198,0.500000000,238,238,TRF_REP
36-1011,NY,36,1011,1,1990-06-05,1991-07-30,420,420,1.082999945,1.162999988,3.028809533,425.000000000,11.725476193,0.619047619,420,420,TRF_REP
36-1011,NY,36,1011,1,1991-07-30,1992-01-27,181,180,1.162999988,1.151000023,2.737569049,425.000000000,8.454143624,0.674033149,181,181,TRF_REP
36-1011,NY,36,1011,1,1992-01-27,1992-06-16,141,150,1.151000023,1.088999987,2.851063869,425.000000000,5.592198602,0.687943262,141,141,TRF_REP
36-1011,NY,36,1011,1,1992-06-16,1992-10-23,129,120,1.088999987,1.187000036,3.594573626,425.000000000,16.651162830,0.651162791,129,129,TRF_REP
36-1011,NY,36,1011,1,1992-10-23,1993-07-30,280,270,1.187000036,1.208999991,3.010714298,425.000000000,6.177500036,0.642857143,280,280,TRF_REP
36-1011,NY,36,1011,2,1994-09-07,1995-06-13,279,270,0.888999999,0.830999970,1.753046602,706.000000000,5.938351275,0.501792115,279,279,TRF_REP
36-1011,NY,36,1011,2,2002-02-08,2002-07-24,166,180,0.848999977,0.882000029,3.116867479,706.000000000,11.371686796,0.632530120,166,166,TRF_REP
36-1011,NY,36,1011,2,2002-07-24,2004-04-12,628,630,0.882000029,0.902999997,2.536464977,706.000000000,7.419904439,0.668789809,628,628,TRF_REP
36-1643,NY,36,1643,2,1990-06-08,1990-11-21,166,180,1.378000021,1.291000009,3.806626493,623.000000000,16.221084272,0.566265060,166,166,TRF_REP
36-1643,NY,36,1643,2,1990-11-21,1991-04-19,149,150,1.291000009,1.465999961,2.509395977,623.000000000,0.222818772,0.590604027,149,149,TRF_REP
36-1643,NY,36,1643,3,1992-07-09,1993-09-14,432,420,1.797999978,2.138999939,2.768518512,623.000000000,9.665277789,0.618055556,432,432,TRF_REP
36-1643,NY,36,1643,3,1993-09-14,1994-06-28,287,300,2.138999939,2.615000010,2.973170732,623.000000000,3.557839720,0.613240418,287,287,TRF_REP
36-1643,NY,36,1643,3,1994-06-28,1995-07-05,372,360,2.615000010,2.793999910,2.356451604,770.000000000,9.111021527,0.505376344,372,372,TRF_MEPDG_AADTT_LTPP_LN
36-1643,NY,36,1643,6,1996-11-07,1997-10-16,343,330,0.837000012,1.014000058,2.946064150,784.000000000,8.157725921,0.600583090,343,343,TRF_REP
36-1643,NY,36,1643,6,1997-10-16,1999-08-24,677,690,1.014000058,1.057999969,2.747415080,784.000000000,8.777104860,0.559822747,677,677,TRF_REP
36-1643,NY,36,1643,6,2002-11-08,2004-04-22,531,540,1.057000041,1.077999949,2.879472711,784.000000000,4.826741985,0.555555556,531,531,TRF_REP
36-1644,NY,36,1644,1,1990-06-06,1990-11-21,168,180,0.964999974,0.948000014,3.348809531,58.000000000,13.020833347,0.714285714,168,168,TRF_REP
36-1644,NY,36,1644,1,1990-11-21,1992-07-07,594,600,0.948000014,0.990000010,2.815656567,58.000000000,4.010774403,0.664983165,594,594,TRF_REP
36-1644,NY,36,1644,1,1992-07-07,1993-09-13,433,420,0.990000010,1.059999943,3.502771365,58.000000000,6.396535814,0.704387991,433,433,TRF_REP
36-1644,NY,36,1644,1,1993-09-13,1994-06-29,289,300,1.059999943,1.077999949,2.894463671,58.000000000,0.386851223,0.660899654,289,289,TRF_REP
36-1644,NY,36,1644,1,1994-06-29,1995-07-06,372,360,1.077999949,1.093999982,2.431989243,58.000000000,6.137634433,0.615591398,372,372,TRF_REP
36-1644,NY,36,1644,1,1995-07-06,1996-05-09,308,300,1.093999982,1.192000031,3.402272706,58.000000000,2.590909092,0.681818182,308,308,TRF_REP
36-1644,NY,36,1644,2,1996-11-06,1997-10-16,344,330,0.801999986,0.773999989,3.304360465,87.000000000,4.983430268,0.703488372,344,344,TRF_REP
36-1644,NY,36,1644,3,1999-08-24,2001-08-21,728,720,0.816999972,0.899999976,2.998901095,87.000000000,5.442994497,0.682692308,728,728,TRF_REP
36-1644,NY,36,1644,3,2001-08-21,2002-11-07,443,450,0.899999976,0.893000007,2.941309254,87.000000000,7.756884878,0.659142212,443,443,TRF_REP
36-1644,NY,36,1644,3,2002-11-07,2004-04-13,523,510,0.893000007,1.126999974,2.933652015,87.000000000,1.898087976,0.715105163,523,523,TRF_REP
36-4017,NY,36,4017,1,1990-06-09,1991-07-31,417,420,1.937999964,2.151000023,2.435011995,712.000000000,10.372661852,0.565947242,417,417,TRF_REP
36-4017,NY,36,4017,1,1991-07-31,1992-11-03,461,450,2.151000023,1.901000023,2.700867687,712.000000000,8.426247275,0.585683297,461,461,TRF_REP
36-4017,NY,36,4017,1,1992-11-03,1993-08-03,273,270,1.901000023,2.065000057,2.228205136,712.000000000,5.222344298,0.586080586,273,273,TRF_REP
36-4017,NY,36,4017,1,1993-08-03,1994-06-01,302,300,2.065000057,1.996000051,2.835099341,712.000000000,3.718874166,0.579470199,302,302,TRF_REP
36-4017,NY,36,4017,3,1998-06-01,1999-04-30,333,330,2.470000029,2.608999968,2.362162171,712.000000000,7.633033045,0.621621622,333,333,TRF_REP
36-4018,NY,36,4018,2,1990-11-02,1991-07-29,269,270,1.689000010,1.723999977,2.811524160,784.000000000,6.874721204,0.635687732,269,269,TRF_REP
36-4018,NY,36,4018,2,1991-07-29,1992-07-10,347,360,1.723999977,1.677000046,2.556195968,784.000000000,6.892219027,0.671469741,347,347,TRF_REP
36-4018,NY,36,4018,4,1994-03-18,1994-04-18,31,30,1.875000000,1.809999943,4.080645141,784.000000000,4.312903243,0.709677419,31,31,TRF_REP
36-4018,NY,36,4018,6,1994-10-26,1995-01-11,77,90,1.705999970,1.774000049,2.602597398,784.000000000,1.459740262,0.571428571,77,77,TRF_REP
36-4018,NY,36,4018,6,1995-01-11,1995-04-18,97,90,1.774000049,1.638000011,2.389690731,784.000000000,-1.016494815,0.587628866,97,97,TRF_REP
36-4018,NY,36,4018,7,1997-01-02,1997-02-07,36,30,1.597000003,1.777499974,2.274999989,784.000000000,-4.447222227,0.777777778,36,36,TRF_REP
36-4018,NY,36,4018,7,1997-02-07,1997-04-10,62,60,1.777499974,1.905999959,2.824193556,784.000000000,-0.529032241,0.677419355,62,62,TRF_REP
36-4018,NY,36,4018,7,1997-04-10,1997-08-28,140,150,1.905999959,1.878000021,2.332142852,784.000000000,14.357142889,0.642857143,140,140,TRF_REP
36-4018,NY,36,4018,7,1997-08-28,1997-10-15,48,60,1.878000021,2.081000090,2.177083347,784.000000000,13.777083447,0.687500000,48,48,TRF_REP
36-4018,NY,36,4018,7,1997-10-15,1998-06-05,233,240,2.081000090,1.878000021,3.266523597,980.000000000,3.425751069,0.690987124,233,233,TRF_MEPDG_AADTT_LTPP_LN
36-4018,NY,36,4018,7,1998-06-05,1999-08-25,446,450,1.878000021,2.079999924,2.669506727,980.000000000,10.143049346,0.647982063,446,446,TRF_MEPDG_AADTT_LTPP_LN
36-4018,NY,36,4018,8,2002-02-23,2002-07-25,152,150,2.144999981,2.414000034,3.627631574,784.000000000,10.720394758,0.717105263,152,152,TRF_REP
36-4018,NY,36,4018,9,2009-04-29,2010-04-13,349,360,2.579999924,3.092000008,3.433524366,784.000000000,7.546991408,0.679083095,349,349,TRF_REP
38-2001,ND,38,2001,2,1990-11-30,1991-07-20,232,240,1.996999979,1.991999984,1.792241379,226.000000000,2.441379300,0.426724138,232,232,TRF_REP
38-2001,ND,38,2001,2,1991-07-20,1992-08-31,408,420,1.991999984,2.150000095,1.462990205,260.000000000,6.187500003,0.465686275,408,408,TRF_MEPDG_AADTT_LTPP_LN
38-2001,ND,38,2001,2,1992-08-31,1993-06-10,283,270,2.150000095,2.075000048,0.730035340,260.000000000,-0.934275622,0.339222615,283,283,TRF_MEPDG_AADTT_LTPP_LN
38-2001,ND,38,2001,2,1993-06-10,1994-08-17,433,420,2.075000048,2.421999931,2.078983834,226.000000000,5.386143176,0.454965358,433,433,TRF_REP
38-2001,ND,38,2001,2,1997-05-01,1998-06-26,421,420,1.636000037,2.013999939,1.609026132,226.000000000,7.307125895,0.467933492,421,421,TRF_REP
38-3005,ND,38,3005,1,1989-10-24,1990-11-30,402,390,1.348000050,1.363000035,1.002985073,254.000000000,3.948756226,0.365671642,402,402,TRF_REP
38-3005,ND,38,3005,2,1991-07-19,1992-08-31,409,420,0.794000030,1.123000026,1.404645483,254.000000000,5.643031789,0.440097800,409,409,TRF_REP
38-3005,ND,38,3005,2,1992-08-31,1993-06-11,284,270,1.123000026,1.087000012,0.848239432,254.000000000,-1.955985881,0.313380282,284,284,TRF_REP
38-3005,ND,38,3005,2,1993-06-11,1994-08-17,432,420,1.087000012,1.203999996,1.834722225,254.000000000,4.618981499,0.430555556,432,432,TRF_REP
38-3005,ND,38,3005,2,1998-06-26,1999-05-14,322,330,1.236999989,1.500000000,1.351552797,254.000000000,3.390372697,0.276397516,322,322,TRF_REP
38-3005,ND,38,3005,2,1999-05-14,2000-07-23,436,450,1.500000000,1.575999975,1.678669730,254.000000000,7.457339431,0.261467890,436,436,TRF_REP
38-3005,ND,38,3005,2,2000-07-23,2001-10-09,443,450,1.575999975,1.845999956,1.356659139,254.000000000,5.734763004,0.311512415,443,443,TRF_REP
38-3006,ND,38,3006,1,1991-07-19,1992-08-30,408,420,0.830999970,1.006000042,1.140931371,130.000000000,5.889460786,0.286764706,408,408,TRF_MEPDG_AADTT_LTPP_LN
38-3006,ND,38,3006,1,1992-08-30,1993-06-11,285,300,1.006000042,0.836000025,0.701754385,130.000000000,-1.712982468,0.238596491,285,285,TRF_MEPDG_AADTT_LTPP_LN
38-5002,ND,38,5002,1,1989-10-25,1991-07-20,633,630,1.243000031,1.299999952,1.356714068,312.000000000,5.076145324,0.391785150,633,633,TRF_REP
38-5002,ND,38,5002,1,1991-07-20,1992-08-31,408,420,1.299999952,1.245000005,1.565196095,312.000000000,7.511764696,0.433823529,408,408,TRF_REP
38-5002,ND,38,5002,1,1992-08-31,1993-10-21,416,420,1.245000005,1.222000003,1.652163455,312.000000000,5.251442309,0.430288462,416,416,TRF_REP
38-5002,ND,38,5002,1,1993-10-21,1994-07-28,280,270,1.222000003,1.286999941,1.619642864,312.000000000,1.438214274,0.478571429,280,280,TRF_REP
44-7401,RI,44,7401,1,1989-10-25,1991-07-24,637,630,1.115000010,1.090999961,3.448037680,459.000000000,8.938618513,0.555729984,637,637,TRF_REP
44-7401,RI,44,7401,1,1991-07-24,1992-09-01,405,420,1.090999961,1.098999977,3.677283960,660.000000000,10.213580251,0.555555556,405,405,TRF_MEPDG_AADTT_LTPP_LN
44-7401,RI,44,7401,1,1992-09-01,1993-09-23,387,390,1.098999977,1.118000031,3.312919896,645.000000000,9.594315209,0.586563307,387,387,TRF_MEPDG_AADTT_LTPP_LN
44-7401,RI,44,7401,1,1993-09-23,1994-09-09,351,360,1.118000031,1.121000051,3.786609690,660.000000000,8.605982899,0.638176638,351,351,TRF_MEPDG_AADTT_LTPP_LN
44-7401,RI,44,7401,1,1994-09-09,1995-06-16,280,270,1.121000051,1.105000019,2.930714265,700.000000000,6.769285710,0.535714286,280,280,TRF_MEPDG_AADTT_LTPP_LN
44-7401,RI,44,7401,1,1997-08-23,1998-06-10,291,300,1.144000053,1.136000037,3.764604808,780.000000000,7.331271491,0.560137457,291,291,TRF_MEPDG_AADTT_LTPP_LN
44-7401,RI,44,7401,2,2001-08-14,2002-02-22,192,180,1.133000016,1.134999990,1.751041674,459.000000000,8.225520821,0.526041667,192,192,TRF_REP
44-7401,RI,44,7401,2,2002-02-22,2002-05-08,75,90,1.134999990,1.128999949,3.111999990,459.000000000,6.923999999,0.640000000,75,75,TRF_REP
44-7401,RI,44,7401,3,2002-11-12,2004-08-12,639,630,1.161000013,1.154000044,3.656964012,1257.000000000,8.269796591,0.583724570,639,639,TRF_REP
